Brand_Model,Weight,Circle,Max_Speed,Horsepower
Acura Legend V6,3265,42,163,160
Audi 100,2935,39,141,130
BMW 535i,3640,39,209,208
Buick Century,2880,41,151,110
Buick Riviera V6,3465,41,231,165
Cadillac Eldorado V8,3480,42,273,180
Chevrolet Lumina,3195,42,151,110
Chrysler Imperial V6,3570,43,202,150
Chrysler Le Baron Coupe,2975,39,153,150
Chrysler New Yorker V6,3450,42,202,147
Dodge Dynasty,3080,42,153,100
Eagle Premier V6,3145,39,180,150
Ford Taurus,3015,42,153,90
Ford Taurus V6,3190,41,182,140
Ford Thunderbird V6,3610,38,232,140
Hyundai Sonata,2885,41,143,110
Infiniti Q45 V8,4000,42,274,278
