province,pro,city,name,lat,lon,pop
安徽省,anhui,合肥,hefei,31.52,117.17,711.5
安徽省,anhui,安庆,anqing,30.31,117.02,621.7
安徽省,anhui,蚌埠,bengbu,32.56,117.21,366.6
安徽省,anhui,亳州,bozhou,33.52,115.47,632.9
安徽省,anhui,滁州,chuzhou,32.18,118.18,449.5
安徽省,anhui,阜阳,fuyang,32.54,115.48,1053.2
安徽省,anhui,淮北,huaibei,33.57,116.47,214.5
安徽省,anhui,淮南,huainan,32.37,116.58,243.3
安徽省,anhui,黄山,huangshan,29.43,118.18,147.4
安徽省,anhui,六安,luan,31.44,116.28,716.7
安徽省,anhui,马鞍山,maanshan,31.43,118.28,228.4
安徽省,anhui,宿州,suzhou,33.38,116.58,641.9
安徽省,anhui,铜陵,tongling,30.56,117.48,74.2
安徽省,anhui,芜湖,wuhu,31.19,118.22,384.5
北京市,beijing,北京,beijing,39.55,116.24,1316.3
福建省,fujian,福州,fuzhou,26.05,119.18,655.5
福建省,fujian,龙岩,longyan,25.06,117.01,302.6
福建省,fujian,南平,nanping,26.38,118.1,316
福建省,fujian,宁德,ningde,26.39,119.31,347.2
福建省,fujian,莆田,putian,24.26,119.01,334.2
