cpop,cincome
0.018,0
0.019,9.70126E-7
0.02,3.366135E-6
0.02,5.785387E-6
0.021,8.521446E-6
0.022,0.0000114005
0.022,0.0000145196
0.023,0.0000177144
0.024,0.0000225529
0.025,0.0000276056
0.025,0.0000330778
0.026,0.0000389612
0.027,0.0000455272
0.027,0.000054941
0.028,0.0000645376
0.029,0.0000744208
0.029,0.0000853074
0.03,0.00009633
0.031,0.0001100098
0.032,0.000124405
0.032,0.0001389564
0.033,0.0001537811
0.034,0.0001691026
0.034,0.0001855184
0.035,0.0002027766
0.036,0.0002207476
0.036,0.0002388668
0.037,0.0002589302
0.038,0.0002794499
0.039,0.000300255
0.039,0.000323295
0.04,0.0003465194
0.041,0.0003705356
0.041,0.0003951591
0.042,0.0004204228
0.043,0.0004463661
0.043,0.0004727247
0.044,0.000500727
0.045,0.0005294822
0.046,0.0005585849
0.046,0.0005949637
0.047,0.000633267
0.048,0.0006716541
0.048,0.0007114809
0.049,0.000751497
0.05,0.0007919174
0.05,0.0008344954
0.051,0.0008775866
0.052,0.0009207724
0.053,0.0009656392
0.053,0.0010122038
0.054,0.0010588067
0.055,0.001106743
0.055,0.0011547274
0.056,0.0012035955
0.057,0.0012539233
0.057,0.001306011
0.058,0.0013587934
0.059,0.0014116885
0.06,0.0014691988
0.06,0.0015267798
0.061,0.0015860783
0.062,0.0016472316
0.063,0.0017102878
0.064,0.0017745278
0.064,0.0018392009
0.065,0.0019048637
0.066,0.0019726013
0.067,0.0020432032
0.067,0.0021147475
0.068,0.0021872038
0.069,0.0022614876
0.069,0.0023401118
0.07,0.0024190684
0.071,0.0024988017
0.071,0.0025810542
0.072,0.0026655067
0.073,0.0027502189
0.074,0.0028364839
0.074,0.0029235749
0.075,0.0030111253
0.076,0.0030995482
0.076,0.0031892818
0.077,0.0032802594
0.078,0.0033713169
0.078,0.0034654737
0.079,0.0035618365
